gold_label,predicted_label,count,model_name,scenario
T02,T13,1,XGBoost,03_Full_Clean
T01,T04,1,XGBoost,03_Full_Clean
T02,T09,1,XGBoost,03_Full_Clean
T02,T05,1,XGBoost,03_Full_Clean
T14,T05,1,XGBoost,03_Full_Clean
T16,T13,1,XGBoost,03_Full_Clean
T01,T14,1,XGBoost,03_Full_Clean
T02,T04,1,RandomForest,05_Balanced
T01,T13,1,XGBoost,03_Full_Clean
T15,T10,1,XGBoost,03_Full_Clean
T13,T06,1,XGBoost,03_Full_Clean
T15,T13,1,XGBoost,03_Full_Clean
T15,T17,1,XGBoost,03_Full_Clean
T16,T02,1,XGBoost,03_Full_Clean
T16,T03,1,XGBoost,03_Full_Clean
T16,T04,1,XGBoost,03_Full_Clean
T17,T01,1,XGBoost,03_Full_Clean
T01,T10,1,XGBoost,03_Full_Clean
T09,T02,1,XGBoost,03_Full_Clean
T03,T05,1,XGBoost,03_Full_Clean
T14,T02,1,XGBoost,03_Full_Clean
T16,T10,1,XGBoost,03_Full_Clean
T10,T07,1,LogisticRegression,01_Raw_Data
T17,T13,1,RandomForest,05_Balanced
T02,T05,1,RandomForest,05_Balanced
T02,T14,1,RandomForest,05_Balanced
T03,T05,1,RandomForest,05_Balanced
T03,T09,1,RandomForest,05_Balanced
T03,T16,1,RandomForest,05_Balanced
T04,T01,1,RandomForest,05_Balanced
T04,T03,1,RandomForest,05_Balanced
T04,T13,1,RandomForest,05_Balanced
T05,T01,1,RandomForest,05_Balanced
T05,T03,1,RandomForest,05_Balanced
T05,T16,1,RandomForest,05_Balanced
T12,T01,1,RandomForest,05_Balanced
T06,T01,1,RandomForest,05_Balanced
T06,T09,1,RandomForest,05_Balanced
T06,T17,1,RandomForest,05_Balanced
T07,T12,1,RandomForest,05_Balanced
T07,T13,1,RandomForest,05_Balanced
T08,T14,1,RandomForest,05_Balanced
T09,T04,1,RandomForest,05_Balanced
T09,T08,1,RandomForest,05_Balanced
T10,T08,1,RandomForest,05_Balanced
T10,T11,1,RandomForest,05_Balanced
T11,T02,1,RandomForest,05_Balanced
T11,T05,1,RandomForest,05_Balanced
T11,T10,1,RandomForest,05_Balanced
T17,T15,1,LinearSVC,01_Raw_Data
