record_id,page_name,post_url,caption,column_name,value,total_reactions,comment_count,share_count,page_followers,engagement_total,engagement_per_follower,reason
REC_007352,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid0dNwxeUenUkN8V6tvjabVkRGtGTDEgv3hpuqEoQvfVbPSQyNnaSJ9sjXBC9U6haRNl,"K26 xôm tụ xôm tụ rồi đây!!! Thêm 5 hồ sơ “nhập học” tiếp theo: Anh Tài Thái VG Anh Tài Trịnh Thăng Bình Anh Tài It's CHARLES. Anh Tài Cheng Anh Tài 14 Casper Rap, hát, sáng tác đủ cả luôn!!!",comment_count,3000000.0,1200,3000000,3,1200000,3001203,2.5010025,comment_count >= 100000
REC_009688,Weibo Việt Nam,https://www.facebook.com/weibovietnam/posts/pfbid02k8Md9citKb3AJhn4DyLKFu3PBfuRdTaFRF3FSxkZ43vULDnLXZv3Tsi5rVUg5sM1l,Cách chúng ta đọc truyện và comment đoạn vào năm 2036 nếu app cam tiếp tục xoá truyện nữa,comment_count,2036000.0,4300,2036000,207,2300000,2040507,0.8871769565217391,comment_count >= 100000
REC_000008,Thông tin Chính phủ,https://www.facebook.com/reel/670744189467522,"Nhiều người vì tin bạn bè, người quen hoặc ham tiền công cao mà nhận “xách hộ”, “ship hộ” hàng hóa không rõ nguồn gốc. Nhưng khi bị phát hiện, cái giá phải trả không chỉ là án tù… mà còn là tương lai, gia đình và cả cuộc đời phía trước. Đừng nghĩ “xách hộ, ship hộ” là vô can. Một phút chủ quan có thể đánh đổi bằng cả cuộc đời. Theo Luật số 86/2025/QH15 sửa đổi, bổ sung một số điều của Bộ luật Hình sự, tội vận chuyển trái phép chất ma túy có thể bị phạt tù từ 3 năm đến chung thân. ----- Video minh họa nhằm mục đích tuyên truyền pháp luật",share_count,1300000.0,23357,1700,1300000,9400000,1325057,0.14096351063829787,share_count >= 100000
REC_009871,Weibo Việt Nam,https://www.facebook.com/vitaminhaiphong/posts/pfbid02G3AEUDazuPdwyix76wWydVM3x3VtXTqWVibqF5dCS8CJMoRtaQVaZPL6xZmHNxjtl,Nữ giáo viên mang lên lớp và yêu cầu học sinh tự ch-í-ch phân trần mục đích là “răn đe” khi các em không ngoan.,share_count,3000000.0,590,94,3000000,2300000,3000684,1.3046452173913043,share_count >= 100000
REC_000567,Tin tức CAND,https://www.facebook.com/reel/1440543443977327,"Vẫn là anh Công an xã và em trai ""hay vi phạm giao thông"" đến từ A Lưới 1.... An toàn giao thông là hạnh phúc của mọi người, mọi nhà!!!",total_reactions,183262.0,183262,1300,1800,1300000,186362,0.1433553846153846,total_reactions >= 100000
REC_000732,Tin tức CAND,https://www.facebook.com/reel/1851342885374399,"Tuân thủ Luật Giao thông, chấp hành nghiêm các quy định pháp luật để luôn có một hành trình bình an nhé cả nhà Nguồn: Công an xã A Lưới 1",total_reactions,143600.0,143600,2000,2100,1300000,147700,0.11361538461538462,total_reactions >= 100000
REC_003279,Tin tức VTV24,https://www.facebook.com/reel/967194122745419,"Đây là những gì ông Nguyễn Tiến Nam (xã Bình Minh, TP. Hà Nội) – người tự xưng có thể chữa bách bệnh chỉ bằng “nước ion kiềm” khai nhận tại cơ quan điều tra…",total_reactions,110159.0,110159,11300,9300,10000000,130759,0.0130759,total_reactions >= 100000
REC_003344,Tin tức VTV24,https://www.facebook.com/reel/860792956394043,"Cuộc đời của một người giao hàng tại Quảng Ninh khép lại ở tuổi 38 nhưng từ quyết định hiến tạng đầy nhân văn, trái tim và hơi thở của anh đã tiếp tục được trao đi, giúp hồi sinh nhiều cuộc đời khác.",total_reactions,107524.0,107524,2000,2000,10000000,111524,0.0111524,total_reactions >= 100000
REC_003377,Tin tức VTV24,https://www.facebook.com/reel/1355165079851730,Chủ tịch Hồ Chí Minh vĩ đại sống mãi trong sự nghiệp của chúng ta!,total_reactions,147588.0,147588,2400,8400,10000000,158388,0.0158388,total_reactions >= 100000
REC_003734,Tin tức VTV24,https://www.facebook.com/reel/863229836035622,"Virus Hanta lây từ chuột qua bụi chứa chất thải, có thể xâm nhập khi dọn dẹp, quét hút. Triệu chứng ban đầu của người nhiễm Hanta dễ nhầm với cúm nhưng nhanh chóng chuyển nặng, gây khó thở, tụt huyết áp. Bộ Y tế khuyến cáo chủ động phòng ngừa, kiểm soát nguy cơ từ chuột.",total_reactions,130605.0,130605,2500,14000,10000000,147105,0.0147105,total_reactions >= 100000
REC_004059,Tin tức VTV24,https://www.facebook.com/reel/984596894505893,"Người dùng cần sớm cập nhật, xác thực thông tin thuê bao, bao gồm nhận diện khuôn mặt để không bị gián đoạn liên lạc.",total_reactions,103005.0,103005,2800,13000,10000000,118805,0.0118805,total_reactions >= 100000
REC_005355,CafeBiz,https://www.facebook.com/reel/1906746597380417,Các bác ra giá mấy triệu/m?,engagement_per_follower,0.5264426315789473,240,1000000,1,1900000,1000241,0.5264426315789473,engagement_per_follower > 0.2
REC_005904,CafeBiz,https://www.facebook.com/cafebiz.vn/posts/pfbid02SduPiGdUYEPHq25wpw6n5FUUwhHxTqJjwbDdU1mUMTbZmXtXPZWijMsK79aLp5sdl,Elon Musk tiết lộ chấn động: Giấc mơ đưa 1 triệu người lên Sao Hỏa của ông được nuôi bằng nghề bán wifi,engagement_per_follower,0.5263615789473685,85,1000000,2,1900000,1000087,0.5263615789473685,engagement_per_follower > 0.2
REC_006301,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid02iBDP8RBGh64ZqujD2BwLih4eFHNqZwLme8VbQuBRShnqeEGDpYHXwaKy5ft27HVBl,Hàng loạt ngành học được miễn 100% học phí năm 2026,engagement_per_follower,1.6890091666666667,799,2026000,12,1200000,2026811,1.6890091666666667,engagement_per_follower > 0.2
REC_006616,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid02sRKuKKAv4RHcFFb9p9fzhos5NzzKdhgtW4raLbHTPnV4uaauEF3a263fnntE5i6ql,"Tổng Bí thư, Chủ tịch nước Tô Lâm dâng hương tưởng niệm các Vua Hùng Sáng 26/4 (mùng 10/3 Âm lịch), Tổng Bí thư, Chủ tịch nước Tô Lâm cùng các lãnh đạo, nguyên lãnh đạo Đảng nhà nước khởi hành lên núi Nghĩa Lĩnh để dâng hương tưởng niệm các Vua Hùng. Theo: TTXVN",engagement_per_follower,3.334335,1200,4000000,2,1200000,4001202,3.334335,engagement_per_follower > 0.2
REC_007352,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid0dNwxeUenUkN8V6tvjabVkRGtGTDEgv3hpuqEoQvfVbPSQyNnaSJ9sjXBC9U6haRNl,"K26 xôm tụ xôm tụ rồi đây!!! Thêm 5 hồ sơ “nhập học” tiếp theo: Anh Tài Thái VG Anh Tài Trịnh Thăng Bình Anh Tài It's CHARLES. Anh Tài Cheng Anh Tài 14 Casper Rap, hát, sáng tác đủ cả luôn!!!",engagement_per_follower,2.5010025,1200,3000000,3,1200000,3001203,2.5010025,engagement_per_follower > 0.2
REC_009688,Weibo Việt Nam,https://www.facebook.com/weibovietnam/posts/pfbid02k8Md9citKb3AJhn4DyLKFu3PBfuRdTaFRF3FSxkZ43vULDnLXZv3Tsi5rVUg5sM1l,Cách chúng ta đọc truyện và comment đoạn vào năm 2036 nếu app cam tiếp tục xoá truyện nữa,engagement_per_follower,0.8871769565217391,4300,2036000,207,2300000,2040507,0.8871769565217391,engagement_per_follower > 0.2
REC_009871,Weibo Việt Nam,https://www.facebook.com/vitaminhaiphong/posts/pfbid02G3AEUDazuPdwyix76wWydVM3x3VtXTqWVibqF5dCS8CJMoRtaQVaZPL6xZmHNxjtl,Nữ giáo viên mang lên lớp và yêu cầu học sinh tự ch-í-ch phân trần mục đích là “răn đe” khi các em không ngoan.,engagement_per_follower,1.3046452173913043,590,94,3000000,2300000,3000684,1.3046452173913043,engagement_per_follower > 0.2
REC_003731,Tin tức VTV24,https://www.facebook.com/reel/1710894580089866,"Việc điều chỉnh ngưỡng doanh thu chịu thuế lên 1 tỷ đồng đang nhận được sự đồng thuận từ các cá nhân, hộ kinh doanh, khi được kỳ vọng giúp giảm áp lực chi phí và phản ánh sát hơn thu nhập thực tế.",comment_count,1000000.0,11329,1000000,452,10000000,1011781,0.1011781,comment_count > total_reactions * 20 and comment_count >= 10000
REC_003767,Tin tức VTV24,https://www.facebook.com/tintucvtv24/posts/pfbid02u7Pye5HRty7c64amaT675KtQ1Bybrs1EMAXVXqZ8FJnBvm2qjVQETwGLMHckSyuDl,Nhiệt độ ngoài trời hôm nay có nơi trên 39°C. Bạn thuộc team nào? Uống nước liên tục Trốn trong điều hòa cả ngày Vẫn ra đường mưu sinh Tan chảy vì thời tiết,comment_count,24000.0,417,24000,11,10000000,24428,0.0024428,comment_count > total_reactions * 20 and comment_count >= 10000
REC_004354,YAN News,https://www.facebook.com/yannews/posts/pfbid0uCy2mAPtzkEvJDN8QzAAKz5nfUPCpLMdqgjbnicA98XbAD8zgv8CafL168zwHi9el,"Cô gái Nga làm việc tại Việt Nam yêu chàng trai Việt Nam làm việc tại Ukraine, sau đó cả 2 đã quyết định về Việt Nam sinh sống",comment_count,2018000.0,1029,2018000,6,21000000,2019035,0.0961445238095238,comment_count > total_reactions * 20 and comment_count >= 10000
REC_004371,YAN News,https://www.facebook.com/reel/2215384965919806,Saka Trương Tuyền tự ti khi tăng 20kg lúc mang thai còn bị Hồ Việt Trung “phũ” thêm,comment_count,20000.0,835,20000,8,21000000,20843,0.0009925238095238095,comment_count > total_reactions * 20 and comment_count >= 10000
REC_004470,YAN News,https://www.facebook.com/reel/1502228057916384,Trạng thái đối lập của mẹ vợ - mẹ ruột của Tôn Bằng trên bàn ăn: Phụ huynh của vợ bị nhận nhầm thành bảo mẫu,comment_count,2000000.0,1220,2000000,7,21000000,2001227,0.0952965238095238,comment_count > total_reactions * 20 and comment_count >= 10000
REC_004573,YAN News,https://www.facebook.com/reel/4474657849481237,Nữ tóp tóp cơ makeup giữa sân banh gây tranh cãi,comment_count,1000000.0,735,1000000,8,21000000,1000743,0.04765442857142857,comment_count > total_reactions * 20 and comment_count >= 10000
REC_004588,YAN News,https://www.facebook.com/reel/1171476698410473,Quán ăn nổi tiếng miền Tây gây tranh cãi vì giá cao,comment_count,400000.0,120,400000,6,21000000,400126,0.01905361904761905,comment_count > total_reactions * 20 and comment_count >= 10000
REC_004621,YAN News,https://www.facebook.com/reel/935843632608095,CĐM rộ nghi vấn Khả Như đang mang bầu được 3 tháng,comment_count,3000000.0,11367,3000000,21,21000000,3011388,0.14339942857142857,comment_count > total_reactions * 20 and comment_count >= 10000
REC_004648,YAN News,https://www.facebook.com/yannews/posts/pfbid02teK3qLq7ymf7MMdN4rF7dgLraAwLGdD1ypmVn9YWmXMi7PhumvzQmrq4uGuwhdkEl,Tin vui cho bé trai 2 tuổi bị baohanh: Em đã xuất viện và được bảo vệ an toàn,comment_count,2000000.0,436,2000000,4,21000000,2000440,0.09525904761904762,comment_count > total_reactions * 20 and comment_count >= 10000
REC_004724,YAN News,https://www.facebook.com/reel/1501146075080052,"Cặp đôi yêu 4 năm, 14 năm yêu xa, sau 18 năm kết thúc bằng 1 đám cưới",comment_count,14000.0,298,14000,4,21000000,14302,0.0006810476190476191,comment_count > total_reactions * 20 and comment_count >= 10000
REC_004828,YAN News,https://www.facebook.com/reel/1342389411089696,"Bỏ vốn ít mà lời to, vợ chồng thu mua phế liệu kiếm vào trăm tới tiền triệu mỗi ngày",comment_count,12000.0,527,12000,4,21000000,12531,0.0005967142857142857,comment_count > total_reactions * 20 and comment_count >= 10000
REC_005005,YAN News,https://www.facebook.com/reel/1879499249420448,"Bạn thân CiiN ăn 500K ở Dubai, CĐM thấy khắc khổ",comment_count,1000000.0,336,1000000,3,21000000,1000339,0.04763519047619048,comment_count > total_reactions * 20 and comment_count >= 10000
REC_005101,YAN News,https://www.facebook.com/reel/1768395097287071,"Gái Thái sốc khi quen hồng hài nhi Việt bên ngoài điển trai bên trong ""ở dơ""",comment_count,1000000.0,372,1000000,7,21000000,1000379,0.047637095238095235,comment_count > total_reactions * 20 and comment_count >= 10000
REC_005104,YAN News,https://www.facebook.com/reel/1618079572602256,"Tắm con ở bồn rửa chén, mẹ bỉm khiến CĐM bàn tán",comment_count,27000.0,211,27000,3,21000000,27214,0.001295904761904762,comment_count > total_reactions * 20 and comment_count >= 10000
REC_005135,YAN News,https://www.facebook.com/reel/2497992194044745,"Ly hôn xong, cô dâu Tây Ninh tất bật, chồng cũ thảnh thơi tụ tập bạn bè",comment_count,35000.0,152,35000,9,21000000,35161,0.0016743333333333332,comment_count > total_reactions * 20 and comment_count >= 10000
REC_005355,CafeBiz,https://www.facebook.com/reel/1906746597380417,Các bác ra giá mấy triệu/m?,comment_count,1000000.0,240,1000000,1,1900000,1000241,0.5264426315789473,comment_count > total_reactions * 20 and comment_count >= 10000
REC_005590,CafeBiz,https://www.facebook.com/reel/990015960342215,Tỷ phú cũng có lúc đi xe như mình thôi,comment_count,30000.0,150,30000,5,1900000,30155,0.01587105263157895,comment_count > total_reactions * 20 and comment_count >= 10000
REC_005904,CafeBiz,https://www.facebook.com/cafebiz.vn/posts/pfbid02SduPiGdUYEPHq25wpw6n5FUUwhHxTqJjwbDdU1mUMTbZmXtXPZWijMsK79aLp5sdl,Elon Musk tiết lộ chấn động: Giấc mơ đưa 1 triệu người lên Sao Hỏa của ông được nuôi bằng nghề bán wifi,comment_count,1000000.0,85,1000000,2,1900000,1000087,0.5263615789473685,comment_count > total_reactions * 20 and comment_count >= 10000
REC_006067,Schannel,https://www.facebook.com/schannel.vn/videos/1485031035815725,"Tối nay, Hoàng Trung và Bùi Mạnh sẽ cùng anh em khám phá chiếc Samsung Galaxy A57 5G với loạt trải nghiệm thực tế từ camera, hiệu năng, pin cho tới những tính năng AI mới cực tiện cho học tập, làm việc và giải trí Không chỉ review “thật”, bộ đôi host còn mang đến nhiều tình huống test máy cực vui và loạt chia sẻ dành riêng cho những ai đang tìm một chiếc smartphone ngon trong tầm giá. Thời gian: 19H30 ngày 13/5/2026 Phát sóng trực tiếp trên fanpage SChannel Đặc biệt, tham gia livestream còn có cơ hội chơi mini game nhận: • Galaxy Buds3 • Củ sạc Samsung 25W #BatVibeAwesomeCucNet #AwesomeVibe #GalaxyA57 5G #GalaxyA37 5G #Samsung",comment_count,14000.0,364,14000,92,1200000,14456,0.012046666666666667,comment_count > total_reactions * 20 and comment_count >= 10000
REC_006244,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid024M5GdrSLf8AEsVVWawQrXvqwAsAajtNHAYDeEYWJwgPxSXzgiNEYCZ3aaSKt81PNl,"Lễ Duyệt binh Chiến thắng diễn ra lúc 14h chiều nay trên Quảng trường Đỏ, nhưng với quy mô thu hẹp đáng kể và không có khí tài cơ giới. Lễ Duyệt binh Chiến thắng kỷ niệm 81 năm ngày đánh bại phát xít Đức, kết thúc Chiến tranh Vệ quốc vĩ đại dự kiến diễn ra lúc 10h sáng 9/5 (14h giờ Hà Nội). Đây là sự kiện được Nga tổ chức thường niên, nhằm thể hiện sức mạnh quân sự, thường với sự xuất hiện của những khí tài hiện đại nhất. Tuy nhiên, lễ duyệt binh năm nay được tiến hành với quy mô nhỏ hơn nhiều và lần đầu tiên trong nhiều năm, các khí tài cơ giới sẽ không xuất hiện ""do tình hình tác chiến hiện nay"", theo Bộ Quốc phòng Nga. Theo: VNEXPRESS",comment_count,81000.0,2224,81000,4,1200000,83228,0.06935666666666666,comment_count > total_reactions * 20 and comment_count >= 10000
REC_006297,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid0mWWybbbdBFxDBmVm81NQF36p4kNtv4UpWubykTktQVB13sV4JBJFqN87G9bsGGzDl,"NHANH CHÓNG BẮT GIỮ ĐỐI TƯỢNG DÙNG ĐE DOẠ HAI VỢ CHỒNG TẠI BẾN CHỜ XE BUÝT, ÉP TRẢ THÊM TIỀN XE ÔM --- Trước đó, tối qua, mạng xã hội lan truyền video ghi lại cảnh một đối tượng dùng đe dọa, ép hai vợ chồng trả 700.000 đồng tiền xe ôm khi đi từ bến xe Mỹ Đình đến khu vực bến Bầu, xã Thiên Lộc, TP Hà Nội. Xác định TÍNH CHẤT NGHIÊM TRỌNG của sự việc, Giám đốc CATP đã chỉ đạo các đơn vị nghiệp vụ khẩn trương điều tra, xác minh, làm rõ đối tượng để xử lý theo quy định pháp luật. Đến 9h30' ngày 8/5/2026, Phòng Cảnh sát hình sự phối hợp Công an xã Thiên Lộc đã bắt giữ được đối tượng gây ra vụ việc Nguyễn Lê Khôi (SN 1996; trú tại; xã Triệu Việt Vương, tỉnh Hưng Yên). Bước đầu xác định, khoảng 18h30' ngày 7/5/2026, chị T (SN 1996; trú tại: tỉnh Lai Châu) cùng chồng đến Bến xe Mỹ Đình để bắt xe về Lai Châu. Khi đến khu vực cổng Bến xe Mỹ Đình, vợ chồng chị T đi xe ôm sang bến Bầu, xã Thiên Lộc để bắt xe khách về Lai Châu. Khi đến bến Bầu mặc dù chị T đã thanh toán 500.000 đồng tiền xe ôm của cả 2 vợ chồng nhưng Khôi không đồng ý mà đòi trả thêm 200.000 đồng. Vợ chồng chị T không đưa tiền thì Khôi lấy dí vào cổ chồng chị T đe doạ. Do hoảng sợ nên chị T đã đưa 200.000 đồng cho đối tượng. Theo hồ sơ, Nguyễn Lê Khôi từng có 1 tiền án về tội Tàng trữ trái phép chất ma tuý. Hiện, Phòng Cảnh sát hình sự Công an Thành phố đang khẩn trương điều tra, củng cố hồ sơ để xử lý Khôi và những người liên quan đến vụ việc theo quy định pháp luật. Theo: Thông tin Chính Phủ",comment_count,200000.0,144,200000,2,1200000,200146,0.16678833333333334,comment_count > total_reactions * 20 and comment_count >= 10000
REC_006301,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid02iBDP8RBGh64ZqujD2BwLih4eFHNqZwLme8VbQuBRShnqeEGDpYHXwaKy5ft27HVBl,Hàng loạt ngành học được miễn 100% học phí năm 2026,comment_count,2026000.0,799,2026000,12,1200000,2026811,1.6890091666666667,comment_count > total_reactions * 20 and comment_count >= 10000
REC_006616,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid02sRKuKKAv4RHcFFb9p9fzhos5NzzKdhgtW4raLbHTPnV4uaauEF3a263fnntE5i6ql,"Tổng Bí thư, Chủ tịch nước Tô Lâm dâng hương tưởng niệm các Vua Hùng Sáng 26/4 (mùng 10/3 Âm lịch), Tổng Bí thư, Chủ tịch nước Tô Lâm cùng các lãnh đạo, nguyên lãnh đạo Đảng nhà nước khởi hành lên núi Nghĩa Lĩnh để dâng hương tưởng niệm các Vua Hùng. Theo: TTXVN",comment_count,4000000.0,1200,4000000,2,1200000,4001202,3.334335,comment_count > total_reactions * 20 and comment_count >= 10000
REC_007352,Schannel,https://www.facebook.com/schannel.vn/posts/pfbid0dNwxeUenUkN8V6tvjabVkRGtGTDEgv3hpuqEoQvfVbPSQyNnaSJ9sjXBC9U6haRNl,"K26 xôm tụ xôm tụ rồi đây!!! Thêm 5 hồ sơ “nhập học” tiếp theo: Anh Tài Thái VG Anh Tài Trịnh Thăng Bình Anh Tài It's CHARLES. Anh Tài Cheng Anh Tài 14 Casper Rap, hát, sáng tác đủ cả luôn!!!",comment_count,3000000.0,1200,3000000,3,1200000,3001203,2.5010025,comment_count > total_reactions * 20 and comment_count >= 10000
REC_009688,Weibo Việt Nam,https://www.facebook.com/weibovietnam/posts/pfbid02k8Md9citKb3AJhn4DyLKFu3PBfuRdTaFRF3FSxkZ43vULDnLXZv3Tsi5rVUg5sM1l,Cách chúng ta đọc truyện và comment đoạn vào năm 2036 nếu app cam tiếp tục xoá truyện nữa,comment_count,2036000.0,4300,2036000,207,2300000,2040507,0.8871769565217391,comment_count > total_reactions * 20 and comment_count >= 10000
REC_010874,Kenh14.vn,https://www.facebook.com/K14vn/posts/1454119160082412,"Chuyên án gây “bão” MXH, fanpage Phòng, chống ma túy - Công an TP.HCM tăng thêm 217.000 người theo dõi",comment_count,23600.0,722,23600,4,8700000,24326,0.0027960919540229883,comment_count > total_reactions * 20 and comment_count >= 10000
REC_000008,Thông tin Chính phủ,https://www.facebook.com/reel/670744189467522,"Nhiều người vì tin bạn bè, người quen hoặc ham tiền công cao mà nhận “xách hộ”, “ship hộ” hàng hóa không rõ nguồn gốc. Nhưng khi bị phát hiện, cái giá phải trả không chỉ là án tù… mà còn là tương lai, gia đình và cả cuộc đời phía trước. Đừng nghĩ “xách hộ, ship hộ” là vô can. Một phút chủ quan có thể đánh đổi bằng cả cuộc đời. Theo Luật số 86/2025/QH15 sửa đổi, bổ sung một số điều của Bộ luật Hình sự, tội vận chuyển trái phép chất ma túy có thể bị phạt tù từ 3 năm đến chung thân. ----- Video minh họa nhằm mục đích tuyên truyền pháp luật",share_count,1300000.0,23357,1700,1300000,9400000,1325057,0.14096351063829787,share_count > total_reactions * 20 and share_count >= 10000
